                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.7177,                 2.2688,                0.95991,                 1.0731,                0.76706,                   0.85,                0.86239,                0.43304,                0.72152,                    0.8,                0.73231,                 0.1951,                 1.6215,                  1.814,                0.76972,                0.97223,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3838,                 2.0572,                0.77626,                0.95784,                0.76706,                   0.85,                0.86239,                0.43304,                0.72152,                    0.8,                0.73231,                 0.1951,                 1.6215,                  1.814,                0.76972,                0.97223,                0.00101,                0.00101,                0.00101
                     52,                 1.4529,                 1.8267,                0.73565,                0.99186,                 0.8177,                    0.8,                0.92064,                0.44943,                0.75177,                   0.75,                0.85416,                0.28558,                 1.4937,                 1.6843,                0.73887,                0.95192,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4357,                 2.0119,                0.76431,                0.97331,                0.78668,                0.92247,                0.92732,                 0.4396,                0.70356,                0.83118,                0.81152,                0.29848,                 1.5208,                 1.6375,                0.77377,                0.96716,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4892,                 2.0866,                0.75132,                0.98723,                0.78668,                0.92247,                0.92732,                 0.4396,                0.70356,                0.83118,                0.81152,                0.29848,                 1.5208,                 1.6375,                0.77377,                0.96716,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5454,                 2.0084,                0.79167,                0.93503,                0.87007,                    0.7,                  0.869,                0.45549,                0.74636,                    0.8,                 0.8894,                0.31657,                 1.4301,                 1.5854,                0.76785,                0.96341,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5395,                 1.9246,                0.78716,                0.99314,                0.78366,                    0.8,                0.86294,                0.44227,                 0.9754,                   0.65,                0.86295,                0.27497,                 1.5236,                 1.7237,                0.72717,                0.97097,               0.000911,               0.000911,               0.000911
                     57,                 1.5348,                 2.0399,                0.74854,                0.98503,                0.78366,                    0.8,                0.86294,                0.44227,                 0.9754,                   0.65,                0.86295,                0.27497,                 1.5236,                 1.7237,                0.72717,                0.97097,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4373,                 1.7086,                0.74502,                0.97556,                0.73969,                0.85257,                0.89558,                0.42965,                0.72507,                      1,                0.91521,                0.22306,                 1.6415,                 1.8552,                 0.7299,                0.98253,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4535,                 1.8217,                0.77899,                0.96901,                0.77599,                0.86652,                0.91164,                0.42052,                0.72787,                    0.8,                 0.8518,                0.21095,                 1.6316,                 1.9308,                 0.7494,                0.97954,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4244,                 1.7489,                0.71843,                0.98638,                0.77599,                0.86652,                0.91164,                0.42052,                0.72787,                    0.8,                 0.8518,                0.21095,                 1.6316,                 1.9308,                 0.7494,                0.97954,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4439,                 1.7957,                0.71451,                0.91264,                0.81571,                0.88571,                0.93192,                0.40947,                0.81034,                0.85471,                0.86415,                0.25001,                 1.5921,                 1.9649,                0.73931,                0.98672,               0.000812,               0.000812,               0.000812
                     62,                 1.3331,                 1.9804,                0.70564,                0.95809,                0.76601,                0.98255,                0.92907,                0.43305,                0.78962,                   0.95,                 0.8857,                  0.254,                 1.5517,                 1.8092,                0.72615,                 0.9782,              0.0007922,              0.0007922,              0.0007922
